NC_028800,NC_028800.1
NC_028816,NC_028816.1
NC_028870,NC_028870.1
NC_028977,NC_028977.1
NC_029099,NC_029099.1
NC_031025,NC_031025.1
NC_031053,NC_031053.1
NC_031087,NC_031087.1
NC_031246,NC_031246.1
NC_041899,NC_041899.1
NC_041900,NC_041900.1
NC_041981,NC_041981.1
NC_042041,NC_042041.1
NC_042093,NC_042093.1
NC_047748,NC_047748.1
NC_047761_1,NC_047761.1
NC_047771,NC_047771.1
NC_047772,NC_047772.1
NC_047773,NC_047773.1
NC_047779,NC_047779.1
NC_047780,NC_047780.1
NC_047781,NC_047781.1
NC_047782,NC_047782.1
NC_047783,NC_047783.1
NC_047784,NC_047784.1
NC_047787,NC_047787.1
NC_047798,NC_047798.1
NC_047799,NC_047799.1
NC_047811,NC_047811.1
NC_047817,NC_047817.1
NC_047818,NC_047818.1
NC_047841,NC_047841.1
NC_047842,NC_047842.1
NC_047849,NC_047849.1
NC_047850,NC_047850.1
NC_047857,NC_047857.1
NC_047862,NC_047862.1
NC_047900,NC_047900.1
NC_047901,NC_047901.1
NC_047907,NC_047907.1
NC_047908,NC_047908.1
NC_047932,NC_047932.1
NC_047944,NC_047944.1
NC_047968,NC_047968.1
NC_047969,NC_047969.1
NC_047970,NC_047970.1
NC_047971,NC_047971.1
NC_047980,NC_047980.1
NC_047994,NC_047994.1
NC_048014,NC_048014.1
NC_048024,NC_048024.1
NC_048042,NC_048042.1
NC_048043,NC_048043.1
NC_048044,NC_048044.1
NC_048114,NC_048114.1
NC_048126,NC_048126.1
NC_048129_1,NC_048129.1
NC_048130_1,NC_048130.1
NC_048131_1,NC_048131.1
NC_048138,NC_048138.1
NC_048143,NC_048143.1
NC_048162,NC_048162.1
NC_048175,NC_048175.1
NC_048656,NC_048656.1
NC_048670,NC_048670.1
NC_048694,NC_048694.1
NC_048700,NC_048700.1
NC_048732,NC_048732.1
NC_048798,NC_048798.1
NC_048805,NC_048805.1
NC_048873,NC_048873.1
NC_049444,NC_049444.1
NC_049448,NC_049448.1
NC_049449,NC_049449.1
NC_049450,NC_049450.1
NC_049451,NC_049451.1
NC_049452,NC_049452.1
NC_049453,NC_049453.1
NC_049454,NC_049454.1
NC_049462,NC_049462.1
NC_049467,NC_049467.1
NC_049472,NC_049472.1
NC_049833,NC_049833.1
NC_049834,NC_049834.1
NC_049835,NC_049835.1
NC_049836,NC_049836.1
NC_049837,NC_049837.1
NC_049838,NC_049838.1
NC_049839,NC_049839.1
NC_049840,NC_049840.1
NC_049841,NC_049841.1
NC_049842,NC_049842.1
NC_049843,NC_049843.1
NC_049844_1,NC_049844.1
NC_049845,NC_049845.1
NC_049846,NC_049846.1
NC_049847,NC_049847.1
NC_049848_1,NC_049848.1
NC_052975,NC_052975.1
NC_052987,NC_052987.1
NC_052988,NC_052988.1
NC_052991,NC_052991.1
NC_054652,NC_054652.1
NC_054653,NC_054653.1
NC_054654,NC_054654.1
NC_054965,NC_054965.1
NC_054966,NC_054966.1
NC_055715,NC_055715.1
NC_055748,NC_055748.1
NC_055768,NC_055768.1
NC_055919,NC_055919.1
NC_055956,NC_055956.1
NC_061419,NC_061419.1
NC_061420,NC_061420.1
NC_061421,NC_061421.1
OK138555,OK138555.1
OK138556,OK138556.1
OK149215,OK149215.1
OK490394,OK490394.1
OK490395,OK490395.1
OK490396,OK490396.1
OK490397,OK490397.1
OK490398,OK490398.1
OK490399,OK490399.1
OK490400,OK490400.1
OK490401,OK490401.1
OK490402,OK490402.1
OK490403,OK490403.1
OK490404,OK490404.1
OK490405,OK490405.1
OK490406,OK490406.1
OK490407,OK490407.1
OK490408,OK490408.1
OK490409,OK490409.1
OK490410,OK490410.1
OK490411,OK490411.1
OK490412,OK490412.1
OK490413,OK490413.1
OK490414,OK490414.1
OK490415,OK490415.1
OK490416,OK490416.1
OK490417,OK490417.1
OK490418,OK490418.1
OK490419,OK490419.1
OK490420,OK490420.1
OK490421,OK490421.1
OK490422,OK490422.1
OK490423,OK490423.1
OK490424,OK490424.1
OK490425,OK490425.1
OK490426,OK490426.1
OK490427,OK490427.1
OK490428,OK490428.1
OK490429,OK490429.1
OK490430,OK490430.1
OK490431,OK490431.1
OK490432,OK490432.1
OK490433,OK490433.1
OK490434,OK490434.1
OK490435,OK490435.1
OK490436,OK490436.1
OK490437,OK490437.1
OK490438,OK490438.1
OK490439,OK490439.1
OK490440,OK490440.1
OK490441,OK490441.1
OK490442,OK490442.1
OK490443,OK490443.1
OK490444,OK490444.1
OK490445,OK490445.1
OK490446,OK490446.1
OK490447,OK490447.1
OK490448,OK490448.1
OK490449,OK490449.1
OK490450,OK490450.1
OK490451,OK490451.1
OK490452,OK490452.1
OK490453,OK490453.1
OK490454,OK490454.1
OK490455,OK490455.1
OK490456,OK490456.1
OK490457,OK490457.1
OK490458,OK490458.1
OK490459,OK490459.1
OK490460,OK490460.1
OK490461,OK490461.1
OK490462,OK490462.1
OK490463,OK490463.1
OK490464,OK490464.1
OK490465,OK490465.1
OK490466,OK490466.1
OK490467,OK490467.1
OK490468,OK490468.1
OK490469,OK490469.1
OK490470,OK490470.1
OK490471,OK490471.1
OK490472,OK490472.1
OK490473,OK490473.1
OK490474,OK490474.1
OK562429,OK562429.1
OK583892,OK583892.1
OK625527,OK625527.1
OK655936,OK655936.1
OL409034,OL409034.1
OL539448,OL539448.1
OL674249,OL674249.1
OL691920,OL691920.1
OL702938,OL702938.1
OL799328,OL799328.1
OL865411,OL865411.1
OL870318,OL870318.1
OL870319,OL870319.1
OM032871,OM032871.1
OM194188,OM194188.1
OM194189,OM194189.1
OM194190,OM194190.1
OM687892,OM687892.1
OM687893,OM687893.1
OU342754,OU342754.1
OU342755,OU342755.1
OU509533,OU509533.1
OU509534,OU509534.1
OU509535,OU509535.1
OU509536,OU509536.1
OU509537,OU509537.1
