taxa	genus
MZ571828.1	Sugarlandvirus
MT380195.1	Sugarlandvirus
MW713578.1	Sugarlandvirus
OU509535.1	Alcyoneusvirus
MT708547.1	Alcyoneusvirus
MZ634341.1	Taipeivirus
MZ322895.1	Slopekvirus
MT157285.1	Slopekvirus
MW448170.1	Slopekvirus
MZ612130.1	Slopekvirus
NC_041981.1	Slopekvirus
KT001919.1	Slopekvirus
MN106245.1	Marfavirus
MN013081.1	Marfavirus
MZ571829.1	Marfavirus
MZ634349.1	Marfavirus
MN434092.1	Marfavirus
MZ634347.1	Marfavirus
MN395284.1	Marfavirus
MN781108.1	Marfavirus
CP062992.1	Jiaodavirus
OL870318.1	Jiaodavirus
MW239157.1	Jiaodavirus
OL870319.1	Jiaodavirus
MW021752.1	Jiaodavirus
MT580897.1	Jiaodavirus
MN434095.1	Jiaodavirus
MG751100.1	Jiaodavirus
MZ602148.1	Jiaodavirus
OU509536.1	Jiaodavirus
MG835858.1	Yonseivirus
NC_052988.1	Yonseivirus
MF415411.1	Yonseivirus
NC_052987.1	Yonseivirus
MF415413.1	Yonseivirus
MF476924.1	Yonseivirus
MZ374361.1	Jedunavirus
MN689778.1	Jedunavirus
KJ021043.1	Jedunavirus
MZ504995.1	Jedunavirus
MT894004.1	Jedunavirus
MT757392.1	Jedunavirus
MT559528.1	Jedunavirus
MG197810.1	Jedunavirus
MK521906.1	Jedunavirus
MT251348.1	Lastavirus
MZ428221.1	Webervirus
OL865411.1	Webervirus
MZ598515.1	Webervirus
MW417503.1	Webervirus
MZ634351.1	Webervirus
MZ634348.1	Webervirus
MW722081.1	Webervirus
MW042802.1	Webervirus
MZ634350.1	Webervirus
MN013087.1	Webervirus
MZ428224.1	Webervirus
MN013078.1	Webervirus
MZ398242.1	Webervirus
MZ571831.1	Webervirus
MT894005.1	Webervirus
MW672037.1	Webervirus
NC_055956.1	Webervirus
MW655991.1	Webervirus
OM032871.1	Webervirus
MZ571834.1	Webervirus
MZ571833.1	Webervirus
OL674249.1	Webervirus
OM687893.1	Webervirus
KY575286.1	Webervirus
OK138555.1	Webervirus
MZ428227.1	Webervirus
MZ428223.1	Webervirus
OK655936.1	Webervirus
MZ221764.1	Webervirus
MZ428228.1	Webervirus
MZ428226.1	Webervirus
NC_048043.1	Webervirus
MH633485.1	Webervirus
NC_048044.1	Webervirus
MH633487.1	Webervirus
MH633486.1	Webervirus
MZ634346.1	Webervirus
MK618657.1	Webervirus
OU342755.1	Webervirus
MN395285.1	Webervirus
MZ634345.1	Webervirus
OL539448.1	Webervirus
OL702938.1	Webervirus
MZ428225.1	Webervirus
MZ428222.1	Webervirus
